iter	RMSE
0	4754.11046
1	4526.535763
2	4329.174011
3	4140.813745
4	3997.881574
5	3878.241539
6	3775.19448
7	3691.96803
8	3593.916644
9	3514.835563
10	3453.7877
11	3387.806806
12	3336.338024
13	3297.854557
14	3266.66031
15	3241.430845
16	3210.958658
17	3185.023812
18	3168.844592
19	3155.880223
20	3143.932843
21	3124.963526
22	3114.632504
23	3098.874396
24	3091.792765
25	3086.005908
26	3080.404645
27	3075.829708
28	3065.775713
29	3062.227999
30	3059.109026
31	3051.915211
32	3048.653025
33	3045.922433
34	3043.921583
35	3041.670076
36	3039.583025
37	3034.045131
38	3032.213625
39	3027.215662
40	3025.885079
41	3024.815204
42	3020.882918
43	3019.614222
44	3016.38443
45	3013.678652
46	3012.471243
47	3011.332575
48	3009.924088
49	3009.132881
50	3008.112643
51	3007.029524
52	3005.782581
53	3003.594989
54	3002.678172
55	3001.920726
56	3001.242296
57	2999.413386
58	2998.177725
59	2996.866665
60	2995.645843
61	2994.892471
62	2993.82371
63	2993.142308
64	2992.264103
65	2991.088949
66	2990.266573
67	2989.376167
68	2988.878501
69	2988.339034
70	2987.608222
71	2986.904815
72	2986.208986
73	2985.335818
74	2984.92073
75	2984.527131
76	2983.595029
77	2983.1718
78	2982.461717
79	2981.892528
80	2980.790318
81	2980.447176
82	2980.159278
83	2979.606122
84	2979.277923
85	2978.626559
86	2978.341146
87	2977.763134
88	2976.87791
89	2976.550089
90	2975.907431
91	2975.719585
92	2974.967049
93	2974.366935
94	2973.890702
95	2973.453918
96	2972.965801
97	2972.56931
98	2972.400892
99	2971.744059
100	2971.143903
101	2970.658408
102	2970.195564
103	2969.756883
104	2969.396825
105	2968.951247
106	2968.704661
107	2968.203941
108	2967.779216
109	2967.328074
110	2966.929464
111	2966.62861
112	2966.475134
113	2966.022668
114	2965.836029
115	2965.582432
116	2965.091088
117	2964.540614
118	2964.016732
119	2963.672033
120	2963.184919
121	2962.810313
122	2962.626784
123	2962.330186
124	2962.034963
125	2961.613499
126	2961.007999
127	2960.715593
128	2960.446568
129	2959.905146
130	2959.659442
131	2959.372341
132	2958.91918
133	2958.642719
134	2958.405058
135	2958.035798
136	2957.72802
137	2957.326755
138	2956.877581
139	2956.548202
140	2956.302404
141	2956.201405
142	2955.931523
143	2955.497613
144	2955.292189
145	2954.903948
146	2954.779563
147	2954.628038
148	2954.43287
149	2954.096288
150	2953.900497
151	2953.758404
152	2953.597612
