iter	Passed	Remaining
0	58	86979
1	106	79709
2	155	77750
3	202	75701
4	251	75196
5	305	75945
6	356	75984
7	411	76803
8	461	76526
9	514	76667
10	572	77464
11	620	76956
12	668	76455
13	722	76692
14	812	80456
15	863	80060
16	913	79653
17	959	78965
18	1012	78906
19	1064	78750
20	1112	78361
21	1161	78063
22	1208	77581
23	1258	77370
24	1309	77288
25	1360	77152
26	1412	77041
27	1464	76977
28	1512	76730
29	1565	76726
30	1609	76247
31	1659	76150
32	1708	75936
33	1754	75641
34	1832	76695
35	1892	76953
36	1948	77045
37	1994	76746
38	2042	76520
39	2093	76400
40	2143	76286
41	2197	76269
42	2247	76159
43	2306	76340
44	2363	76413
45	2430	76823
46	2534	78340
47	2600	78672
48	2660	78785
49	2715	78740
50	2779	78972
51	2871	79965
52	3003	82006
53	3081	82518
54	3146	82666
55	3218	82990
56	3286	83195
57	3342	83106
58	3399	83037
59	3468	83241
60	3540	83525
61	3601	83524
62	3650	83276
63	3696	82936
64	3746	82704
65	3799	82553
66	3849	82338
67	3901	82171
68	3958	82099
69	4031	82352
70	4081	82139
71	4135	82028
72	4193	81979
73	4252	81944
74	4301	81735
75	4351	81526
76	4415	81609
77	4466	81421
78	4519	81294
79	4654	82610
80	4718	82667
81	4782	82708
82	4900	83667
83	5104	86052
84	5166	86005
85	5227	85945
86	5280	85766
87	5342	85719
88	5390	85453
89	5440	85233
90	5494	85076
91	5539	84773
92	5594	84644
93	5644	84424
94	5697	84268
95	5747	84062
96	5796	83834
97	5845	83631
98	5886	83298
99	5939	83153
100	5987	82941
101	6037	82742
102	6089	82597
103	6183	83004
104	6233	82818
105	6293	82770
106	6340	82542
107	6385	82302
108	6432	82086
109	6479	81883
110	6535	81779
111	6590	81676
112	6641	81519
113	6693	81373
114	6736	81136
115	6784	80951
116	6834	80785
117	6892	80722
118	6949	80647
119	7001	80513
120	7054	80399
121	7102	80218
122	7156	80119
123	7269	80668
124	7319	80510
125	7374	80421
126	7435	80390
127	7493	80322
128	7550	80240
129	7607	80168
130	7658	80035
131	7717	79982
132	7768	79843
133	7818	79703
134	7873	79613
135	7925	79488
136	7975	79352
137	8031	79268
138	8080	79124
139	8132	79003
140	8189	78929
141	8277	79165
142	8333	79084
143	8385	78961
144	8438	78855
145	8488	78723
146	8533	78539
147	8579	78376
148	8633	78281
149	8696	78268
150	8749	78166
151	8800	78042
152	8846	77888
153	8896	77755
154	8945	77624
155	8994	77494
156	9040	77330
157	9085	77172
158	9132	77024
159	9185	76929
160	9230	76769
161	9281	76659
162	9370	76858
163	9421	76753
164	9471	76629
165	9524	76541
166	9572	76405
167	9617	76250
168	9666	76127
169	9712	75982
170	9765	75893
171	9806	75713
172	9852	75574
173	9899	75442
174	9949	75331
175	10000	75228
176	10049	75112
177	10098	74998
178	10146	74876
179	10196	74771
180	10248	74682
181	10297	74569
182	10364	74591
183	10446	74713
184	10496	74609
185	10543	74483
186	10590	74357
187	10639	74247
188	10706	74264
189	10760	74191
190	10807	74067
191	10854	73943
192	10902	73835
193	10954	73744
194	11009	73681
195	11066	73625
196	11120	73556
197	11177	73498
198	11223	73375
199	11278	73307
200	11324	73186
201	11376	73101
202	11473	73303
203	11538	73302
204	11590	73215
205	11642	73131
206	11693	73040
207	11743	72944
208	11796	72868
209	11853	72817
210	11909	72754
211	11966	72701
212	12017	72615
213	12069	72531
214	12119	72437
215	12175	72378
216	12227	72295
217	12280	72221
218	12334	72145
219	12381	72036
220	12431	71946
221	12485	71876
222	12571	71991
223	12619	71888
224	12670	71800
225	12722	71718
226	12770	71616
227	12827	71566
228	12879	71482
229	12930	71398
230	12976	71284
231	13029	71215
232	13082	71140
233	13130	71038
234	13181	70956
235	13231	70867
236	13290	70825
237	13367	70882
238	13429	70854
239	13493	70839
240	13556	70820
241	13656	70991
242	13706	70900
243	13755	70805
244	13808	70734
245	13858	70644
246	13912	70573
247	13961	70483
248	14009	70385
249	14065	70326
250	14118	70252
251	14178	70215
252	14230	70140
253	14278	70043
254	14337	70003
255	14394	69949
256	14446	69869
257	14510	69851
258	14560	69765
259	14609	69676
260	14688	69728
261	14757	69730
262	14807	69645
263	14861	69579
264	14910	69486
265	14957	69388
266	15017	69352
267	15080	69327
268	15142	69295
269	15206	69272
270	15263	69219
271	15317	69154
272	15365	69062
273	15417	68987
274	15468	68907
275	15517	68817
276	15573	68757
277	15622	68673
278	15677	68608
279	15770	68716
280	15820	68632
281	15873	68558
282	15922	68472
283	15971	68386
284	16023	68310
285	16096	68323
286	16160	68302
287	16213	68233
288	16309	68340
289	16426	68537
290	16486	68495
291	16543	68440
292	16595	68364
293	16647	68287
294	16694	68194
295	16738	68085
296	16824	68148
297	16882	68094
298	16935	68024
299	16986	67947
300	17036	67862
301	17082	67763
302	17131	67676
303	17183	67602
304	17232	67516
305	17284	67444
306	17335	67366
307	17397	67331
308	17443	67234
309	17491	67146
310	17544	67075
311	17590	66981
312	17640	66899
313	17691	66820
314	17744	66751
315	17793	66670
316	17879	66725
317	17939	66680
318	17994	66617
319	18052	66569
320	18107	66505
321	18159	66432
322	18211	66362
323	18263	66289
324	18316	66219
325	18370	66157
326	18425	66095
327	18477	66024
328	18532	65961
329	18585	65892
330	18636	65819
331	18683	65731
332	18738	65667
333	18784	65576
334	18836	65506
335	18889	65438
336	18976	65489
337	19026	65412
338	19080	65345
339	19132	65274
340	19189	65222
341	19253	65191
342	19311	65139
343	19365	65075
344	19420	65015
345	19481	64974
346	19530	64894
347	19576	64806
348	19638	64769
349	19695	64714
350	19761	64689
351	19828	64668
352	19892	64635
353	19949	64581
354	20041	64642
355	20091	64564
356	20143	64493
357	20199	64434
358	20254	64375
359	20306	64305
360	20365	64254
361	20422	64202
362	20471	64120
363	20521	64046
364	20573	63976
365	20626	63909
366	20677	63834
367	20727	63760
368	20776	63680
369	20828	63610
370	20881	63544
371	20931	63470
372	20987	63411
373	21071	63439
374	21135	63405
375	21186	63335
376	21242	63275
377	21295	63211
378	21354	63161
379	21406	63092
380	21467	63049
381	21523	62992
382	21581	62940
383	21637	62883
384	21689	62814
385	21745	62757
386	21793	62676
387	21850	62623
388	21901	62551
389	21956	62492
390	22011	62431
391	22118	62518
392	22211	62565
393	22274	62526
394	22329	62466
395	22378	62389
396	22427	62309
397	22482	62249
398	22533	62179
399	22584	62107
400	22660	62104
401	22734	62096
402	22792	62042
403	22876	62060
404	22935	62010
405	23005	61990
406	23077	61974
407	23197	62087
408	23280	62100
409	23337	62042
410	23390	61976
411	23447	61920
412	23498	61847
413	23543	61759
414	23592	61681
415	23646	61617
416	23697	61545
417	23746	61468
418	23796	61394
419	23857	61346
420	23914	61292
421	23978	61252
422	24041	61211
423	24094	61146
424	24154	61097
425	24208	61033
426	24285	61027
427	24352	60995
428	24412	60945
429	24459	60863
430	24519	60813
431	24566	60732
432	24616	60660
433	24665	60583
434	24715	60511
435	24765	60437
436	24825	60388
437	24882	60330
438	24931	60255
439	24980	60181
440	25035	60118
441	25090	60058
442	25150	60008
443	25201	59938
444	25249	59860
445	25303	59798
446	25391	59814
447	25442	59743
448	25499	59687
449	25550	59617
450	25600	59545
451	25649	59471
452	25698	59394
453	25747	59320
454	25808	59274
455	25861	59210
456	25911	59138
457	25962	59068
458	26017	59007
459	26073	58949
460	26122	58874
461	26174	58807
462	26226	58740
463	26279	58674
464	26330	58605
465	26387	58551
466	26471	58554
467	26546	58537
468	26620	58520
469	26697	58507
470	26775	58496
471	26857	58495
472	26939	58493
473	27048	58548
474	27147	58581
475	27242	58605
476	27318	58589
477	27394	58571
478	27493	58604
479	27600	58651
480	27708	58699
481	27765	58642
482	27818	58573
483	27871	58506
484	27920	58431
485	27966	58349
486	28014	58272
487	28067	58206
488	28117	58131
489	28173	58071
490	28224	58000
491	28278	57935
492	28337	57882
493	28401	57838
494	28480	57824
495	28546	57783
496	28651	57822
497	28733	57814
498	28817	57808
499	28951	57903
500	29060	57947
501	29163	57977
502	29226	57929
503	29308	57919
504	29378	57883
505	29465	57881
506	29536	57850
507	29600	57803
508	29753	57929
509	29843	57931
510	29948	57962
511	30030	57950
512	30094	57901
513	30161	57858
514	30263	57882
515	30324	57828
516	30409	57818
517	30457	57739
518	30507	57664
519	30582	57635
520	30635	57566
521	30712	57542
522	30809	57554
523	30869	57496
524	30943	57466
525	31004	57411
526	31056	57339
527	31109	57269
528	31173	57220
529	31238	57172
530	31311	57139
531	31385	57107
532	31442	57045
533	31500	56984
534	31561	56928
535	31630	56888
536	31693	56835
537	31780	56827
538	31904	56884
539	31966	56829
540	32031	56781
541	32095	56730
542	32167	56692
543	32244	56664
544	32373	56727
545	32490	56768
546	32602	56801
547	32723	56848
548	32867	56934
549	33091	57158
550	33197	57176
551	33260	57120
552	33324	57067
553	33395	57024
554	33457	56967
555	33583	57018
556	33654	56976
557	33723	56930
558	33788	56878
559	33850	56820
560	33907	56753
561	33971	56699
562	34113	56774
563	34182	56727
564	34245	56671
565	34315	56626
566	34373	56562
567	34439	56509
568	34504	56455
569	34572	56408
570	34659	56390
571	34746	56371
572	34808	56313
573	34872	56258
574	34935	56200
575	34999	56144
576	35057	56080
577	35178	56115
578	35246	56066
579	35305	56001
580	35366	55941
581	35422	55872
582	35538	55899
583	35624	55876
584	35698	55835
585	35760	55776
586	35812	55700
587	35877	55647
588	35942	55591
589	36001	55528
590	36064	55469
591	36123	55404
592	36227	55409
593	36318	55394
594	36383	55339
595	36439	55270
596	36502	55212
597	36564	55152
598	36629	55097
599	36695	55043
600	36784	55023
601	36863	54989
602	36955	54973
603	37015	54910
604	37086	54864
605	37151	54806
606	37215	54750
607	37293	54714
608	37387	54699
609	37447	54636
610	37507	54573
611	37569	54511
612	37655	54486
613	37734	54450
614	37825	54431
615	37901	54391
616	37973	54344
617	38034	54281
618	38100	54226
619	38171	54178
620	38235	54120
621	38305	54070
622	38391	54044
623	38486	54029
624	38546	53964
625	38609	53905
626	38675	53849
627	38735	53785
628	38801	53729
629	38899	53718
630	38967	53665
631	39036	53613
632	39097	53551
633	39157	53486
634	39222	53428
635	39295	53381
636	39353	53316
637	39471	53330
638	39556	53299
639	39613	53230
640	39686	53183
641	39746	53118
642	39816	53067
643	39874	53001
644	39938	52941
645	39999	52878
646	40058	52813
647	40151	52791
648	40218	52737
649	40277	52670
650	40359	52635
651	40419	52570
652	40486	52514
653	40668	52607
654	40742	52561
655	40810	52506
656	40880	52454
657	40946	52396
658	41030	52362
659	41112	52324
660	41173	52261
661	41248	52215
662	41319	52163
663	41412	52140
664	41460	52059
665	41525	52000
666	41578	51926
667	41644	51868
668	41766	51880
669	41829	51818
670	41886	51748
671	41933	51668
672	41983	51590
673	42035	51514
674	42085	51437
675	42138	51364
676	42191	51290
677	42243	51215
678	42292	51137
679	42343	51061
680	42397	50989
681	42443	50907
682	42494	50832
683	42546	50757
684	42595	50679
685	42648	50605
686	42698	50529
687	42771	50480
688	42832	50416
689	42885	50343
690	42939	50271
691	42986	50192
692	43032	50110
693	43082	50035
694	43135	49963
695	43184	49886
696	43230	49805
697	43280	49728
698	43328	49650
699	43380	49577
700	43429	49501
701	43480	49426
702	43526	49346
703	43572	49266
704	43622	49191
705	43668	49112
706	43726	49045
707	43773	48967
708	43855	48927
709	43909	48857
710	43972	48796
711	44024	48723
712	44077	48652
713	44124	48574
714	44173	48498
715	44220	48420
716	44274	48350
717	44328	48280
718	44403	48232
719	44478	48184
720	44555	48139
721	44636	48098
722	44707	48047
723	44780	47996
724	44867	47961
725	44972	47946
726	45067	47918
727	45156	47886
728	45240	47847
729	45314	47797
730	45392	47752
731	45473	47709
732	45543	47655
733	45615	47604
734	45694	47559
735	45756	47497
736	45818	47434
737	45879	47371
738	45953	47321
739	46036	47281
740	46096	47216
741	46155	47151
742	46222	47093
743	46284	47031
744	46349	46971
745	46405	46903
746	46460	46834
747	46525	46774
748	46578	46703
749	46633	46633
750	46695	46571
751	46761	46512
752	46821	46448
753	46881	46383
754	46942	46320
755	47010	46264
756	47125	46253
757	47193	46197
758	47250	46129
759	47311	46066
760	47368	45999
761	47436	45942
762	47522	45903
763	47608	45863
764	47673	45804
765	47738	45744
766	47795	45677
767	47859	45616
768	47917	45549
769	47985	45492
770	48053	45435
771	48183	45437
772	48259	45387
773	48327	45330
774	48410	45287
775	48482	45233
776	48541	45167
777	48593	45095
778	48646	45024
779	48709	44962
780	48804	44930
781	48855	44857
782	48907	44785
783	48967	44720
784	49014	44643
785	49067	44572
786	49116	44497
787	49168	44426
788	49247	44378
789	49299	44307
790	49349	44233
791	49395	44156
792	49442	44080
793	49496	44010
794	49546	43937
795	49597	43864
796	49645	43790
797	49700	43721
798	49756	43653
799	49811	43584
800	49860	43511
801	49911	43439
802	49962	43367
803	50024	43304
804	50074	43232
805	50125	43160
806	50178	43089
807	50228	43017
808	50317	42978
809	50370	42908
810	50419	42834
811	50470	42762
812	50524	42694
813	50588	42633
814	50636	42559
815	50687	42488
816	50742	42419
817	50793	42348
818	50842	42275
819	50891	42202
820	50939	42128
821	50989	42056
822	51038	41984
823	51094	41917
824	51146	41846
825	51218	41792
826	51287	41736
827	51391	41709
828	51446	41640
829	51497	41570
830	51544	41496
831	51597	41426
832	51651	41358
833	51707	41291
834	51758	41221
835	51811	41151
836	51860	41079
837	51913	41010
